No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
5,19,43.7514,308.508,2.51955,3.64002,1023.41,841.205,-31.3979,22.2708,50934.6,1141.3,1,2,3,4,5,0
5,20,43.8543,308.37,2.2151,3.8136,1073.6,875.738,-34.832,3.12357,49594.8,1171.22,1,2,3,4,5,0
5,21,45.4605,310.138,2.49712,2.12615,1487.04,846.019,-58.1295,-11.8268,48526.5,1130.7,1,2,3,4,5,0
5,22,45.2789,310.904,2.1448,2.66345,1137.07,802.337,-40.2055,-2.85913,40676.9,1050.81,1,2,3,4,5,0
5,23,45.2702,312.596,1.84074,2.71518,860.629,767.267,-5.3331,-39.0776,28750.2,943.834,,,,,,0
6,1,45.1859,18.7261,2.82625,2.90727,351.685,76.4986,4.68319,9.05345,20306.5,213.598,1,2,3,4,5,0
6,2,43.7101,18.3602,2.77369,1.82705,474.655,134.958,3.40107,-1.52435,14639,234.219,1,2,3,4,5,0
6,3,45.1717,19.247,2.6266,1.74853,410.669,153.779,3.14597,-7.63174,12452.2,232.373,1,2,3,4,5,0
6,4,46.061,19.6334,2.7714,2.61001,406.134,158.044,-1.78812,1.10917,17735.4,261.331,1,2,3,4,5,0
6,5,43.2119,18.0892,3.59815,2.03185,521.201,234.358,11.5896,5.95586,21607.5,358.817,1,2,3,4,5,0
6,6,44.8,18.3959,2.68861,2.64384,699.225,181.17,-7.1638,-2.10172,29761.9,359.965,1,2,2,3,4,0
6,7,44.2798,17.5326,3.16279,2.9852,643.9,106.609,1.79155,11.9163,34335.4,324.621,1,1,2,3,4,0
6,8,44.8038,17.5078,2.53568,2.56922,603.93,143.404,1.12766,19.119,23383,304.905,1,2,2,3,4,0
6,9,44.1332,18.4184,1.95523,1.64092,531.04,218.494,10.8573,5.75223,10680.7,271.876,1,1,2,3,4,0
6,10,43.7282,17.5943,1.88174,1.78316,501.134,200.148,5.09023,6.40386,10541.3,260.503,1,1,2,3,4,0
6,11,43.9288,17.1284,2.2809,1.58316,695.974,280.153,7.95732,15.1737,15662.9,364.828,1,1,2,3,4,0
6,12,44.2157,17.1346,2.57465,1.99071,735.478,239.378,0.71057,8.30848,23169.8,368.917,1,1,2,3,4,0
6,13,44.0002,16.7423,3.4669,2.93584,714.214,133.652,9.31308,5.41261,40224.6,377.118,1,1,2,3,4,0
6,14,43.2051,16.6672,3.11736,2.67271,745.334,147.847,8.20725,16.5751,35408.2,372.355,1,1,2,3,4,0
6,15,44.2204,17.1905,2.40461,1.98556,655.871,231.831,4.45247,5.95782,19387,342.692,1,1,2,3,4,0
6,16,44.6536,17.7109,3.31804,2.46903,656.882,155.997,-2.52456,-5.51157,31473.8,352.249,1,1,2,3,4,0
6,17,44.1436,16.9998,2.5648,1.84881,655.693,233.606,0.601973,10.7458,20307.9,352.243,1,1,2,3,4,0
6,18,43.6337,16.2887,1.81156,1.22859,654.503,311.215,3.72851,27.0031,9142.03,352.237,1,1,2,3,4,0
6,19,43.9866,16.9464,1.95182,2.20655,716.738,271.727,0.883176,7.8047,19240.4,367.988,1,1,2,3,4,0
6,20,43.9784,17.1556,2.77826,2.96827,724.462,193.662,1.74115,11.9924,33378,397.633,1,1,2,3,4,0
6,21,44.6293,18.2673,2.327,2.23622,758.205,206.451,-10.6634,4.55754,25051.7,353.201,1,1,2,3,4,0
6,22,43.8782,17.994,2.64134,3.00362,563.398,170.481,-12.5333,-8.66424,27809,345.095,1,1,2,3,4,0
6,23,43.6952,18.1741,2.55294,2.99379,542.953,202.045,-1.33933,-12.9719,25537.2,344.734,1,1,2,3,4,0
6,24,44.7625,17.9041,2.90758,2.78085,736.513,154.555,-5.24414,4.32798,36267.6,371.118,1,1,2,3,4,0
6,25,44.0008,17.2,2.65586,2.2584,878.807,183.697,9.86199,-0.504813,32109.1,375.095,1,1,2,3,4,0
