No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
3,3,63.5698,189.974,2.06853,2.03544,709.514,254.724,14.3248,-7.07243,18638.1,373.55,1,1,2,3,4,0
3,4,63.7278,189.864,2.06824,2.16028,698.367,236.534,22.7334,8.08588,19432.3,360.124,1,1,2,3,4,0
3,5,64.1604,189.503,2.36689,2.92259,514.883,213.34,17.6639,11.1132,21211.1,357.136,1,1,2,3,4,0
3,6,63.2488,188.709,2.09892,2.68665,392.702,276.795,10.6727,-6.57319,13507.4,353.621,1,1,2,3,4,0
3,7,63.6673,189.474,1.83398,1.6701,615.74,278.323,11.3432,1.26826,12462.7,348.107,1,1,2,2,3,0
3,8,63.3355,189.77,2.2386,1.68412,688.596,253.349,8.11352,-5.50161,16231,352.426,1,1,2,2,3,0
3,9,63.1555,189.114,1.99993,2.39618,745.185,248.004,4.81565,-14.4343,22120,376.604,1,1,2,2,3,0
3,10,63.1026,188.478,2.61655,2.77091,819.931,147.354,9.2689,2.83822,37439.5,370.959,1,1,1,2,2,0
3,11,63.0132,188.319,3.02124,2.75773,664.644,161.765,8.68597,-6.27504,32661.1,358.047,1,2,3,4,5,0
3,12,59.3167,184.595,1.86643,2.0877,851.237,166.63,13.1771,6.41582,20721.5,291.763,1,2,3,4,5,0
3,13,59.1815,183.997,2.22297,2.55512,581.328,154.003,2.01111,5.66439,20235.7,273.45,1,2,3,4,5,0
3,14,58.6592,183.548,3.35396,3.7083,715.223,-130.701,27.0071,20.0939,54624,251.722,1,2,3,4,5,0
3,15,61.3379,186.977,3.85239,3.93359,432.056,-71.5959,-14.0688,-20.0415,38748.6,196.485,1,2,3,4,5,0
3,16,62.1134,187.549,2.27005,2.33138,279.17,167.011,-0.347648,-10.2462,9146.79,214.201,1,2,3,4,5,0
3,17,58.5122,182.995,2.0709,2.42707,532.197,118.458,8.69506,8.94668,16602.4,218.077,1,1,3,4,5,0
3,18,58.8559,182.419,2.30967,2.44482,503.075,94.3058,1.93988,0.10267,17425.9,200.834,1,1,2,2,3,0
3,19,58.7904,182.571,2.00034,2.29854,610.052,117.042,-0.568502,-5.19215,17417.6,223.272,1,2,3,4,5,0
3,20,57.6413,182.251,1.95939,2.57956,671.838,140.821,-0.918915,-5.015,20755.2,258.941,1,2,3,4,5,0
3,21,55.5941,179.29,1.76239,2.42457,460.764,111.968,10.4562,7.19438,11363.7,185.722,,,,,,0
4,1,78.2448,200.952,3.61909,3.24524,1781.98,948.015,-12.1701,-5.10895,112218,1652.25,1,2,3,4,5,0
4,2,84.099,202.533,3.79855,2.69479,949.263,1294.19,-51.414,46.4475,48963.3,1599.57,1,2,3,4,5,0
4,3,85.1893,202.305,3.45609,1.82931,881.705,1399.33,-35.463,47.9459,32151.9,1597.14,1,1,2,2,2,0
4,4,84.9321,202.448,3.14384,2.00526,1171.28,1307.1,4.76765,49.9665,43275.9,1567.6,1,1,2,2,2,0
4,5,84.6748,202.591,2.8316,2.1812,1460.86,1214.87,44.9983,51.9871,54399.9,1538.07,1,1,2,3,3,0
4,6,85.3369,202.72,2.36049,1.93579,2112,1153.48,32.2554,31.8332,59839.5,1489.85,1,1,2,3,4,0
4,7,86.0629,202.872,2.78204,2.27187,1895.66,1059.69,35.0831,5.50511,71542.8,1463.11,1,1,2,3,4,0
4,8,86.6116,202.222,2.63982,2.48703,1549.71,1085.49,-23.2661,62.1171,67792.3,1492.59,1,2,2,3,4,0
4,9,85.952,203.578,1.79049,3.58517,1752.88,1340.05,-9.58829,61.3835,46359.1,1612.61,1,2,2,3,4,0
4,10,86.5171,201.658,2.07197,1.98689,1218.95,1380.55,-19.8111,136.889,34351.1,1567.25,1,1,2,3,4,0
4,11,86.1373,201.962,2.85133,2.60538,1589.63,997.604,-44.0977,95.3684,70177.5,1389.85,1,1,2,3,4,0
4,12,86.4056,200.764,2.69264,3.00978,1314.74,829.998,-36.6378,97.5031,67145.6,1241.5,1,1,2,3,4,0
